subject,screen_height_in_pixels,screen_width_in_pixels,screen_distance_in_inches,screen_pixels_per_inch,center_disk_radius_in_pixels
1,900,1440,26.6208661417323,128.592592592593,119.505969170967
2,768,1366,23.7035433070866,96.2962962962963,79.6845857318842
3,800,1280,16.9070866141732,115.555555555556,68.2041925291751
4,864,1536,16.1976377952756,133.925925925926,75.7299735519582
5,1440,2560,33.905905511811,113.185185185185,133.972726983474
6,768,1366,22.6066929133858,112,88.3906895458554
7,768,1366,17.4937007874016,113.777777777778,69.4849269939554
8,768,1366,40.5956692913386,94.8148148148148,134.371563763629
9,900,1440,20.8409448818898,127.407407407407,92.6965450748916
10,1080,1920,48.1157480314961,90.0740740740741,151.299855295819
11,900,1440,12.1736220472441,125.62962962963,53.3904225282371
12,768,1366,22.2822834645669,113.185185185185,88.0441986168726
13,1080,1920,28.5582677165354,97.7777777777778,97.4817882582224
14,1080,1920,61.0330708661417,95.4074074074074,203.281932530558
15,720,1280,24.0696850393701,111.407407407407,93.6129517639384
16,900,1440,20.7775590551181,129.185185185185,93.7041232993395
17,768,1366,18.7535433070866,136.296296296296,89.2316357850638
18,800,1280,21.7610236220472,115.555555555556,87.7852629858675
19,1440,2560,50.2047244094488,109.037037037037,191.10413898159
20,1050,1680,19.561811023622,125.62962962963,85.793147833528
21,1080,1920,21.4964566929134,125.62962962963,94.2780136626977
22,1080,1920,25.7393700787402,94.2222222222222,84.6647677319076
23,720,1280,31.0055118110236,81.7777777777778,88.5167936089799
24,1080,1920,30.3043307086614,136.296296296296,144.191684538013
25,900,1440,11.7625984251969,127.407407407407,52.3177927535616
26,1080,1920,16.7826771653543,144.296296296296,84.5410989277688
27,1080,1920,26.3051181102362,103.703703703704,95.2326759084515
28,720,1280,21.3523622047244,103.703703703704,77.3021653505181
29,800,1280,12.9937007874016,125.62962962963,56.9870801436544
30,768,1366,27.2374015748032,82.0740740740741,78.0410546910001
31,1080,1920,22.1590551181102,84.1481481481482,65.0949450767507
32,864,1536,24.2665354330709,125.62962962963,106.426877312278
33,900,1440,14.9496062992126,126.814814814815,66.1837257496485
34,1080,1920,29.2570866141732,108.444444444444,110.761760476848
35,1080,1920,23.8188976377953,95.4074074074074,79.3332446466274
36,1080,1920,8.4244094488189,76.4444444444444,22.4820991935076
37,800,1280,22.5811023622047,116.148148148148,91.5606555793424
38,900,1440,24.3035433070866,125.62962962963,106.589184473031
39,900,1440,20.6842519685039,129.777777777778,93.7112254593243
40,768,1366,12.8330708661417,131.555555555556,58.9374375273678
41,1080,1920,30.4409448818898,69.3333333333333,110.53455506345
42,768,1366,14.6712598425197,130.666666666667,100.399160097663
43,1080,1920,21.5547244094488,106.666666666667,120.411802204003
44,1080,1920,18.6948818897638,141.037037037037,138.08730689981
45,768,1366,18.9649606299213,100.148148148148,99.4701395003429
46,768,1366,6.09251968503937,125.62962962963,40.0854606670313
47,864,1536,25.6795275590551,108.444444444444,145.845218738868
48,900,1440,20.6153543307087,130.962962962963,141.396009966353
49,800,1280,18.1362204724409,106.666666666667,101.314911328602
50,840,1344,18.6748031496063,100.148148148148,97.9482800244808
51,720,1280,16.9417322834646,105.777777777778,93.8534219834575
52,900,1440,21.1779527559055,127.111111111111,140.982545796051
53,864,1536,24.5622047244095,114.37037037037,147.122376925134
54,900,1440,23.855905511811,130.37037037037,162.881838877307
55,1080,1920,22.7523622047244,94.8148148148148,112.979735174001
56,768,1366,24.9700787401575,114.37037037037,149.565455441747
57,900,1440,24.4413385826772,117.333333333333,150.191119507012
58,720,1280,7.25629921259843,105.481481481481,40.0856806012807
59,768,1366,22.8822834645669,114.37037037037,137.060006239432
60,900,1440,29.95,125.62962962963,197.054684932024
61,864,1536,31.8515748031496,103.703703703704,172.990811186743
62,864,1536,34.8885826771654,133.333333333333,243.623917238492
63,800,1280,22.8614173228346,114.37037037037,136.935022492926
64,900,1440,22.5606299212598,126.222222222222,149.136828026805
65,1112,834,19.111811023622,125.62962962963,125.745305500509
66,1080,1920,26.6153543307087,104.888888888889,146.204114778181
67,864,1536,25.3527559055118,93.6296296296296,124.318665336067
68,1080,1920,22.4106299212598,71.7037037037037,84.1576328172282
69,1050,1680,16.4838582677165,173.62962962963,149.892729823423
70,1080,5760,26.5811023622047,105.777777777778,147.25338442636
71,768,1366,37.5736220472441,103.703703703704,204.068131555433
72,1080,1920,14.8976377952756,125.62962962963,98.0183413014841
73,720,1280,18.8917322834646,109.333333333333,108.173835813952
74,864,1536,22.0570866141732,116.740740740741,134.855434197725
75,768,1366,10.3031496062992,138.074074074074,74.5040710268836
76,768,1366,29.4551181102362,101.925925925926,157.232852118607
77,864,1536,20.1645669291339,128.592592592593,135.800919317326
78,1366,768,16.6944881889764,125.62962962963,109.840638069454
79,1224,2176,20.3216535433071,93.9259259259259,99.9637147209894
80,768,1366,20.8429133858268,138.074074074074,150.719144984113
81,1080,1920,31.3688976377953,92.4444444444444,202.532104064794
82,800,1280,11.9763779527559,114.37037037037,95.6649439170466
83,800,1280,22.5818897637795,117.62962962963,185.520033155682
84,1050,1680,31.4385826771654,92.4444444444444,202.982022892303
85,864,1536,19.2051181102362,113.481481481481,152.21441392102
86,1080,1920,53.8755905511811,101.925925925926,383.522201559191
87,864,1536,16.1681102362205,104.888888888889,118.441131341856
88,900,1440,7.81023622047244,116.148148148148,63.3563661171183
89,912,1368,10.5614173228346,137.481481481481,101.409865721068
90,960,1708,20.3933070866142,139.555555555556,198.768971064061
91,768,1366,36.1744094488189,102.518518518519,259.010620442286
92,720,1280,13.0074803149606,105.481481481481,95.8259644100731
93,864,1536,24.8334645669291,101.037037037037,175.239383058795
94,864,1536,17.3468503937008,114.962962962963,139.281162212995
95,768,1366,30.0838582677165,125.62962962963,263.96078667584
96,768,1366,35.0570866141732,98.962962962963,242.304964264136
97,900,1440,14.1515748031496,114.074074074074,112.747137442201
98,900,1440,6.61102362204724,125.62962962963,58.0062231539228
99,768,1366,6.68543307086614,113.777777777778,53.1252263185576
100,864,1536,13.5740157480315,110.814814814815,105.055785514294
101,1080,1920,51.5622047244095,91.2592592592593,328.641359778111
102,768,1366,33.8590551181102,104.296296296296,246.636598022959
103,720,1280,13.2240157480315,125.62962962963,116.02971828949
104,1080,1920,38.890157480315,94.2222222222222,255.921542819541
105,900,1440,6.58622047244094,125.62962962963,57.7885961852057
106,1080,1920,14.4677165354331,90.6666666666667,91.6139146826527
107,768,1366,20.1677165354331,112.592592592593,158.591661343604
108,1080,1920,27.3791338582677,103.111111111111,197.169153764266
109,768,1366,21.6625984251969,126.814814814815,191.86437419437
110,768,1366,31.6645669291339,128,283.072266953805
111,900,1440,29.8811023622047,126.222222222222,263.418479040856
112,864,1536,14.0251968503937,125.333333333333,122.769180349772
113,912,1368,5.51653543307087,133.925925925926,51.5994259778368
114,768,1366,22.2444881889764,102.518518518519,159.271672296394
115,768,1366,23.0984251968504,109.037037037037,175.901771702012
116,900,1440,31.5240157480315,116.148148148148,255.721725545104
117,1024,1280,21.1472440944882,85.9259259259259,126.908818108865
118,720,1280,25.7492125984252,105.777777777778,190.227014775982
119,1080,1920,54.0145669291339,92.4444444444444,348.743013433959
120,768,1366,19.3763779527559,105.777777777778,143.146533939035
121,900,1440,25.5736220472441,129.777777777778,289.811544918425
122,864,1536,21.2358267716535,113.185185185185,209.885224386149
123,768,1366,21.7488188976378,101.925925925926,193.572406183563
124,864,1536,20.1968503937008,114.962962962963,202.751792832473
125,1080,1920,18.2606299212598,125.62962962963,200.323057705133
126,1080,1920,26.0566929133858,103.703703703704,235.95906582909
127,1200,1600,45.4570866141732,102.518518518519,406.936856387112
128,720,1280,20.9740157480315,107.259259259259,196.444325983767
129,768,1366,28.4122047244094,106.666666666667,264.640778320511
130,1080,1920,28.3196850393701,142.814814814815,353.170797697809
131,1080,1921,27.6090551181102,82.6666666666667,199.298980039269
132,1080,1920,62.2366141732283,81.1851851851852,441.210510670683
133,1080,1920,13.2771653543307,99.5555555555556,115.423428541331
134,1080,1920,31.6094488188976,99.2592592592593,273.975077916579
135,1080,1920,28.4248031496063,131.555555555556,326.535019929061
136,768,1366,22.8055118110236,97.1851851851852,193.536550477751
137,768,1366,24.1346456692913,134.814814814815,284.119899817045
138,768,1366,19.3299212598425,134.518518518519,227.057194194143
139,768,1366,4.54448818897638,158.222222222222,62.7878432131205
140,900,1600,18.1397637795276,132.740740740741,210.261118492935
141,982,1746,15.3188976377953,128.888888888889,172.411448358831
142,1080,1920,26.9897637795276,93.037037037037,219.269416381952
143,1080,1920,38.2858267716535,130.962962962963,437.834145909332
144,864,1536,25.1751968503937,113.777777777778,250.122884527353
145,900,1440,30.3783464566929,133.037037037037,352.906616524445
146,900,1440,30.355905511811,90.0740740740741,238.762493082169
147,768,1366,23.8429133858268,102.814814814815,214.061283436195
148,768,1366,30.0874015748032,129.185185185185,339.406770119353
149,1080,1920,57.6535433070866,98.962962962963,498.220736578715
150,900,1440,21.894094488189,125.62962962963,240.182949464019
151,768,1366,16.2244094488189,107.555555555556,152.37890626662
152,768,1366,20.0125984251969,113.481481481481,198.313182413872
153,720,1280,28.25,96,236.816954335769
154,864,1536,5.95905511811024,141.925925925926,73.8519972615903
155,900,1600,28.8161417322835,117.925925925926,296.734629788856
156,1235,2195,26.5582677165354,91.5555555555556,212.328138815334
157,1003,1504,22.9866141732283,137.481481481481,275.957572487037
158,1080,1920,31.0287401574803,115.555555555556,313.096403253412
159,864,1536,15.746062992126,114.962962962963,158.071305152724
160,900,1440,10.9200787401575,128.592592592593,122.620992914267
161,1080,1920,25.3657480314961,97.7777777777778,259.964226951515
162,768,1366,36.5370078740157,113.777777777778,435.728712663986
163,1080,1920,25.3330708661417,94.2222222222222,250.18826412538
164,720,1280,16.6905511811024,125.62962962963,219.780173216286
165,1080,1920,30.6070866141732,109.62962962963,351.702691979752
166,800,1280,7.93897637795276,96.5925925925926,80.377424408997
167,900,1440,13.6110236220472,129.185185185185,184.301662521495
168,1080,1920,20.5665354330709,94.2222222222222,203.114175390012
169,1080,1920,27.7448818897638,103.703703703704,301.580252568578
170,1080,1920,31.6417322834646,103.111111111111,341.972726952546
171,1080,1920,27.8334645669291,105.185185185185,306.865169798886
172,1080,1920,23.111811023622,125.62962962963,304.334936276097
173,1080,1920,31.396062992126,93.037037037037,306.165898103353
174,1080,1920,19.255905511811,97.1851851851852,196.150656399557
175,1152,2048,25.1114173228346,109.925925925926,289.332427695489
176,800,1280,12.5240157480315,112.296296296296,147.412662702106
177,1200,1920,35.3850393700787,99.5555555555556,369.24186546067
178,1080,1920,27.8602362204724,93.037037037037,271.68547361979
179,900,1440,29.6799212598425,125.62962962963,390.823416480071
180,800,1280,31.3232283464567,104.296296296296,342.421602868099
181,720,1280,18.4767716535433,107.555555555556,208.297804537828
182,900,1440,22.8677165354331,133.037037037037,318.875473873992
183,768,1366,17.838188976378,125.62962962963,234.892198619066
184,864,1536,22.4086614173228,104.888888888889,246.360542981902
185,1080,1920,25.0692913385827,94.2222222222222,247.583189420441
186,1080,1920,19.0917322834646,94.8148148148148,189.734929378176
187,1080,1920,23.2476377952756,91.8518518518518,223.816706271014
188,768,1366,21.2948818897638,98.962962962963,220.888791086824
189,1080,1920,17.9248031496063,89.4814814814815,168.117651200754
190,1080,1920,42.4047244094488,91.8518518518518,408.251618131355
191,1440,2560,34.9248031496063,110.814814814815,405.655664733699
192,768,1360,33.3594488188976,63.4074074074074,221.709659834551
193,768,1366,31.2259842519685,113.185185185185,370.451600236351
194,768,1366,29.2448818897638,103.407407407407,316.976652455013
195,768,1366,5.92204724409449,125.62962962963,77.9811616153081
196,900,1440,17.8503937007874,130.37037037037,243.922830815972
197,864,1536,19.1992125984252,107.851851851852,217.038498987252
198,900,1440,23.3472440944882,125.62962962963,307.435104780681
199,1080,1920,25.8484251968504,133.037037037037,360.439522711882
200,1080,1920,13.4133858267717,146.37037037037,205.786718424163
